                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 1.0409,                   0.62,                 1.1493,                0.86299,                0.83768,                0.89182,                0.59712,                 1.1134,                 0.5669,                 1.2174,               0.005248,               0.005248,               0.005248
                     50,                 1.0321,                0.60826,                 1.1474,                 0.8517,                0.85193,                0.89165,                0.59179,                 1.1224,                0.56459,                 1.2272,               0.005149,               0.005149,               0.005149
                     51,                 1.0209,                0.60495,                 1.1474,                 0.8532,                0.85474,                0.89554,                 0.5947,                 1.1131,                0.56472,                 1.2344,                0.00505,                0.00505,                0.00505
                     52,                 1.0274,                0.60368,                 1.1422,                 0.8554,                0.85694,                0.89313,                0.59183,                 1.1136,                0.56246,                 1.2374,               0.004951,               0.004951,               0.004951
                     53,                 1.0211,                0.60057,                 1.1442,                0.85936,                 0.8384,                 0.8912,                0.59225,                 1.1184,                0.56545,                 1.2368,               0.004852,               0.004852,               0.004852
                     54,                 1.0083,                0.59073,                 1.1426,                 0.8789,                0.82898,                0.89387,                0.59559,                 1.1115,                0.56417,                 1.2367,               0.004753,               0.004753,               0.004753
                     55,                 1.0006,                0.59026,                 1.1372,                 0.8724,                0.83349,                0.89388,                0.59592,                 1.1113,                0.56354,                 1.2343,               0.004654,               0.004654,               0.004654
                     56,                0.99821,                0.58625,                 1.1287,                 0.8591,                0.85112,                0.89625,                0.59679,                 1.1087,                0.56014,                 1.2244,               0.004555,               0.004555,               0.004555
                     57,                0.99768,                0.57714,                 1.1292,                0.86427,                0.83775,                0.89175,                0.59835,                 1.1024,                0.55986,                  1.226,               0.004456,               0.004456,               0.004456
                     58,                0.98267,                0.56898,                 1.1258,                0.87028,                0.84244,                0.89307,                0.59877,                 1.1057,                0.55636,                 1.2326,               0.004357,               0.004357,               0.004357
                     59,                0.98924,                 0.5708,                 1.1249,                0.87146,                0.82978,                0.89078,                 0.5985,                 1.1079,                 0.5576,                 1.2296,               0.004258,               0.004258,               0.004258
                     60,                0.97655,                 0.5664,                 1.1227,                0.87056,                0.83084,                0.89211,                0.59806,                 1.1032,                0.55729,                 1.2302,               0.004159,               0.004159,               0.004159
                     61,                0.97039,                0.55439,                 1.1213,                0.86307,                0.83445,                0.89259,                0.60114,                 1.1043,                0.55571,                 1.2409,                0.00406,                0.00406,                0.00406
